,Observer,Date,Time Start,Time End,Distance (km),Urban/Rural,Weather,Other info,N (Dogs),N (Cats),Total Dogs and Cats,Cat to Dog Ratio (CDR),Dogs per km,Cats per km
,,,,,(rough estimate if you don't track it with gps),"If most of the activity was done in a park, put Urban (Park) !",,,,,,The thing that matters,,
,Phil & Em,28/4/2020,18:30:00,19:05:00,5.1,Urban,Rain,,8,0,8,0,1.568627451,0
,Em,29/4/2020,15:57:00,16:20:00,3.5,Urban,Damp,,8,1,9,0.125,2.285714286,0.2857142857
,Phil,29/4/2020,18:47:00,19:38:00,10.3,Urban + Rural,Damp,,13,2,15,0.1538461538,1.262135922,0.1941747573
,Phil,30/4/2020,18:43:00,19:46:00,12.87,Urban,Damp,,18,3,21,0.1666666667,1.398601399,0.2331002331
,Phil,01/5/2020,18:36:00,19:08:00,6.3,Urban + Park,Blustery,,11,1,12,0.09090909091,1.746031746,0.1587301587
,Em ,01/5/2020,11:46:00,12:45:00,8,Urban,Rain,,3,0,3,0,0.375,0
,Phil & Em,02/5/2020,15:15:00,16:45:00,5,Woodland + Park,Sunny,,27,0,27,0,5.4,0
,Phil,03/5/2020,11:57:00,13:20:00,18.03,Urban,Overcast,,22,1,23,0.04545454545,1.220188575,0.05546311703
,Em,03/5/2020,13:03:00,14:06:00,10.02,Urban + Rural,Overcast,,6,0,6,0,0.5988023952,0
,Phil,04/5/2020,18:27:00,19:00:00,5,Woodland + Park,Blustery,,23,0,23,0,4.6,0
,Phil,05/5/2020,17:52:00,18:30:00,7.77,Urban,Sunny,,18,1,19,0.05555555556,2.316602317,0.1287001287
,Em,06/5/2020,12:24:00,13:00:00,5.48,Urban,Sunny,,6,0,6,0,1.094890511,0
,Phil,06/5/2020,17:25:00,18:15:00,4,Urban + Woodland,Sunny,,4,1,5,0.25,1,0.25
,Em,07/5/2020,18:12:00,18:47:00,3.5,Urban,Sunny,,6,0,6,0,1.714285714,0
,Phil,07/5/2020,18:12:00,19:00:00,6.75,Urban + Woodland,Sunny,,7,1,8,0.1428571429,1.037037037,0.1481481481
,Phil,08/5/2020,18:30:00,19:10:00,4,Urban + Woodland,Sunny,,6,0,6,0,1.5,0
,Em,08/5/2020,15:30:00,16:30:00,4,Urban,Sunny,,2,2,,1,0.5,0.5
,Phil,09/5/2020,14:07:00,16:07:00,50.7,Rural,Sunny,,9,1,10,0.1111111111,0.1775147929,0.01972386588
,Em,09/5/2020,15:04:00,15:30:00,4,Urban,Sunny,,6,1,7,0.1666666667,1.5,0.25
,Phil & Em,10/5/2020,11:53:00,12:50:00,7,Woodland,Overcast,,29,0,29,0,4.142857143,0
,Phil & Em,11/5/2020,18:18:00,19:18:00,9,Urban + Rural,Sunny,,9,1,10,0.1111111111,1,0.1111111111
,Phil ,12/5/2020,18:16:00,19:10:00,10,Urban + Rural,Sunny,,5,0,5,0,0.5,0
,Phil & Em,13/5/2020,18:00:00,18:50:00,4,Woodland,Sunny,,6,0,6,0,1.5,0
,Phil,18/5/2020,18:43:00,19:45:00,12.2,Urban,Sunny,,23,1,24,0.04347826087,1.885245902,0.08196721311
,Em,19/5/2020,14:49:00,15:30:00,5,Urban,Sunny,,7,0,7,0,1.4,0
,Phil,19/5/2020,17:26:00,18:05:00,5,Woodland + Park,Sunny,,21,0,21,0,4.2,0
,Phil & Em,19/5/2020,20:00:00,21:15:00,4.6,Urban + Park,Sunny,,8,3,11,0.375,1.739130435,0.652173913
,Phil & Em,20/5/2020,20:45:00,21:45:00,4.6,Urban + Park,Sunny,,4,5,9,1.25,0.8695652174,1.086956522
Cumulative Totals,,,,,335.49,,,,1116,106,1198,#DIV/0!,160.8186569,0.2034943112
